OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
433366,33045669,,DEFAULT,,,wildcade,,,WYTDC,,,,,,,,,,Undetermined,,,,,1/1/2025 7:00:00 AM,,,,,,,,,RMCC,,,,,,East Zone Piles RX,,RX,FI,42.85873,-109.8598,,,{A761CEEE-F28B-4AF6-9150-985180D4068C},,0,,,0,,,,1,992500,wildcade,,,,Sublette,WYCPC,56035,,,,Private,Private,,,,,,,RM07,USFS,WYBTF,US-WY,,,,,,2025-WYBTF-992500,No Decision,,,,1/6/2025 6:01:52 PM,1/6/2025 6:02:29 PM,0,,,{F3F7ABFC-6425-4F37-BB85-90342274F567},372ea908-1189-474c-bc4a-b5a7be641fbf,,-109.8598,42.85873
433367,33045671,,DEFAULT,,,wildcade,,,WYTDC,,,,,,,,,,Undetermined,,,,,1/1/2025 7:00:00 AM,,,,,,,,,GBCC,,,,,,North Zone Piles RX,,RX,FI,43.47599,-110.7613,,,{7B3E6F38-2CDA-4A75-8D54-C10D35F9B589},,0,,,0,,,,1,992501,wildcade,,,,Teton,WYTDC,56039,,,,Private,Private,,,,,,,GB10,USFS,WYBTF,US-WY,,,,,,2025-WYBTF-992501,No Decision,,,,1/6/2025 6:03:11 PM,1/6/2025 6:03:29 PM,0,,,{4FCB8277-0D47-4326-ACC5-6A8FFA621341},fe5e6240-eea1-4280-9857-7b6b41ec23b6,,-110.7613,43.47599
433369,33045672,,DEFAULT,,,wildcade,,,WYTDC,,,,,,,,,,Undetermined,,,,,1/1/2025 7:00:00 AM,,,,,,,,,GBCC,,,,,,West Zone Piles RX,,RX,FI,42.721,-110.9309,,,{A12DB0DE-49AF-4B00-A40D-374A79E7150D},,0,,,0,,,,1,992502,wildcade,,,,Lincoln,WYTDC,56023,,,,Private,Private,,,,,,,GB10,USFS,WYBTF,US-WY,,,,,,2025-WYBTF-992502,No Decision,,,,1/6/2025 6:04:14 PM,1/6/2025 6:04:14 PM,0,,,{C1EF1612-0C4B-4DDD-85E2-6629789C8C13},77d505ad-57b3-47a2-a82a-8e7928853e3e,,-110.9309,42.721
434919,33047226,,DEFAULT,,,wildcade,,,NMTDC,,,,,,,,,,Undetermined,,,,,1/1/2025 7:01:00 AM,,,,,,,,,SWCC,,,,,,Highway 150 Piles RX,,RX,FI,36.589988,-105.487225,,,{CE4B354D-2DE3-4A48-B8CF-A59B5D1849DC},,0,,,0,,,,1,000023,wildcade,,,,Taos,NMTDC,35055,USFS,NMCAF,,USFS,Federal,,,,,,,SW10,USFS,NMCAF,US-NM,,,,,,2025-NMCAF-000023,No Decision,,,,1/14/2025 10:27:37 PM,1/15/2025 6:26:09 PM,0,,,{D1023DD9-E993-4583-83F5-12B4970E6F36},7ace4796-9d65-4bdd-ac12-ce0196b8a63c,,-105.487225,36.589988
434606,33046913,,DEFAULT,,,IROC,,,INIIC,,,,,,,,,,,,,,,1/1/2025 12:00:00 PM,,,,,,,,,EACC,,,,,,2025 HOF - Prescribed Fire (RX) Support,,RX,FI,,,,,{D30168ED-2299-4A99-8ACF-9EF257C66E5A},,0,,,0,,,,1,250005,IROC,,,,Perry,INIIC,18123,,,,Private,Private,,,,,,,EA14,USFS,INHOF,US-IN,,,,,,2025-INHOF-250005,No Decision,,,,1/13/2025 12:22:23 PM,1/13/2025 12:22:23 PM,0,,,{F8BADE99-7BEE-4B2C-BE9D-A9A553923442},fb991c2c-c7ea-4bcc-9cf2-cfc43909f5f3,,-86.74583,37.9410667
430372,33044660,,DEFAULT,,,cfcad,0.01,0.01,CASLCC,,,,,,,,,,Undetermined,,,,,1/1/2025 3:11:16 PM,,,,,,,,,OSCC,,,,,,CHIMNEY ROCK RANCH RX BURN,,RX,FI,35.672712,-120.822712,,,{3B7A6DBB-A1F4-4618-9E4B-AB59BDF3F82C},,0,0,0,0,0,0,,1,000013,cfcad,,,,San Luis Obispo,CASLCC,06079,,,,Private,Private,,,,,,,SC07,CAL FIRE,CASLU,US-CA,,,,,,2025-CASLU-000013,No Decision,,,,1/1/2025 7:23:02 PM,1/5/2025 6:50:58 PM,0,,,{29E0F918-261C-4899-82E6-D6BBD08A4278},20562ce4-c800-4adf-a99c-a86e85ad0030,,-120.822712,35.672712
430261,33044549,,DEFAULT,,,IROC,,,AZFDC,,,,,,,,,,,,,,,1/1/2025 3:27:00 PM,,,,,,,,,SWCC,,,,,,2025 AZ-COF RX Fire Support,,RX,FI,,,,,{814B3818-9FAF-42E4-813D-7BF04D3D19C2},,0,,,0,,,,1,000003,IROC,,,,Coconino,AZFDC,04005,,,,Private,Private,,,,,,,SW05,USFS,AZCOF,US-AZ,,,,,,2025-AZCOF-000003,No Decision,,,,1/1/2025 3:33:31 PM,1/1/2025 3:33:31 PM,0,,,{3E19852E-BFD8-4AB8-B1C0-8B3ABAD9CC9F},b5e3591e-8dc8-4423-9fb9-383dbb862cc8,,-111.6752778,35.1863889
430718,33045004,,DEFAULT,,,wildcade,,,AKACDC,,,,,,,,,,Undetermined,,,,,1/1/2025 5:00:00 PM,,,,,,,,,AICC,,,,,,CY25 Wharf Ave RX,,RX,FI,60.487802,-150.866415,,,{4D4D88A2-D9AD-44BE-9312-7D93595121CA},,0,1,,0,,,,1,250003,wildcade,,,,Kenai Peninsula,AKACDC,02122,DNR,AKDNS,,Private,Private,,,,,,,AK14,DVF,AKKKS,US-AK,,,,,,2025-AKKKS-250003,No Decision,,,,1/2/2025 6:51:31 PM,1/2/2025 6:52:48 PM,0,,,{FE8AD9D2-FCAF-453F-80AD-A1F668D2764D},5f680bbc-9675-4b4b-bda4-96306bad3b70,,-150.866415,60.487802
430759,33045047,,DEFAULT,,,wildcade,,,AKACDC,,,,,,,,,,Undetermined,,,,,1/1/2025 5:00:00 PM,,,,,,,,,AICC,,,,,,CY25 Alut Ave Project RX,,RX,FI,59.750568,-151.756278,,,{9B15CEBD-4414-47C3-85F2-5B5F3BCC8BDA},,0,1,,0,,,,1,250002,wildcade,,,,Kenai Peninsula,AKACDC,02122,DNR,AKDNS,,Private,Private,,,,,,,AK14,DVF,AKKKS,US-AK,,,,,,2025-AKKKS-250002,No Decision,,,,1/2/2025 7:30:22 PM,1/2/2025 9:35:46 PM,0,,,{44335AA0-3895-41C9-AF28-E88FE5D2013D},cb770b7e-becc-4a2e-99c4-241bee165e50,,-151.756278,59.750568
430760,33045048,,DEFAULT,,,wildcade,,,AKACDC,,,,,,,,,,Human,,,,,1/1/2025 5:00:00 PM,,,,,,,,,AICC,,,,,,CY25 Morgan's Landing RX,,RX,FI,60.503372,-150.863667,,,{451FB71F-6A1F-4E4B-9AD9-718964244ED6},,0,1,,0,,,,1,250001,wildcade,,,,Kenai Peninsula,AKACDC,02122,DNR,AKDNS,,Private,Private,,,,,,,AK14,DVF,AKKKS,US-AK,,,,,,2025-AKKKS-250001,No Decision,,,,1/2/2025 7:30:44 PM,1/2/2025 10:22:44 PM,0,,,{2947E18B-A9AB-4996-AF25-DA9D8B64E72D},63c9036b-060d-4353-bece-f1be6dc3e286,,-150.863667,60.503372
